postcode,place_id,distance,duration
5125,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,17.57,24.23
5125,ChIJscH3eyHJsGoRjMLoSHcIsm4,20.86,28.88
5095,ChIJA8JbLlhLt2oRwQltOFgMf40,13.35,19.0
5095,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,14.55,22.2
5095,ChIJu3UpY0zRsGoRLMloCgGsIcA,24.87,38.1
5095,ChIJHc3SHVrasGoRMPi5RVU2Aw8,29.85,36.75
5095,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,12.14,19.13
5095,ChIJscH3eyHJsGoRjMLoSHcIsm4,11.02,16.13
5092,ChIJA8JbLlhLt2oRwQltOFgMf40,5.63,8.97
5092,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,12.11,18.73
5092,ChIJu3UpY0zRsGoRLMloCgGsIcA,27.28,40.72
5092,ChIJHc3SHVrasGoRMPi5RVU2Aw8,29.51,45.78
5092,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,11.13,15.95
5092,ChIJscH3eyHJsGoRjMLoSHcIsm4,14.42,20.58
5073,ChIJA8JbLlhLt2oRwQltOFgMf40,10.38,14.15
5073,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,1.39,3.3
5073,ChIJu3UpY0zRsGoRLMloCgGsIcA,19.3,28.27
5073,ChIJHc3SHVrasGoRMPi5RVU2Aw8,23.85,36.93
5073,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,3.97,7.35
5073,ChIJscH3eyHJsGoRjMLoSHcIsm4,10.32,16.25
5091,ChIJA8JbLlhLt2oRwQltOFgMf40,0.71,0.93
5091,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,13.14,17.17
5091,ChIJu3UpY0zRsGoRLMloCgGsIcA,28.59,40.55
5091,ChIJHc3SHVrasGoRMPi5RVU2Aw8,32.07,48.02
5091,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,12.11,16.35
5091,ChIJscH3eyHJsGoRjMLoSHcIsm4,16.67,23.88
5577,ChIJA8JbLlhLt2oRwQltOFgMf40,250.85,175.97
5577,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,255.98,180.88
5577,ChIJu3UpY0zRsGoRLMloCgGsIcA,267.46,188.55
5577,ChIJHc3SHVrasGoRMPi5RVU2Aw8,264.19,183.18
5577,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,256.39,174.6
5577,ChIJscH3eyHJsGoRjMLoSHcIsm4,252.31,167.32
5108,ChIJA8JbLlhLt2oRwQltOFgMf40,15.91,23.05
5108,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,22.49,32.05
5108,ChIJu3UpY0zRsGoRLMloCgGsIcA,32.51,47.28
5108,ChIJHc3SHVrasGoRMPi5RVU2Aw8,35.17,40.5
5108,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,20.08,28.98
5108,ChIJscH3eyHJsGoRjMLoSHcIsm4,18.65,25.33
5089,ChIJA8JbLlhLt2oRwQltOFgMf40,3.65,6.02
5089,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,9.73,14.58
5089,ChIJu3UpY0zRsGoRLMloCgGsIcA,25.17,37.97
5089,ChIJHc3SHVrasGoRMPi5RVU2Aw8,28.66,45.43
5089,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,8.7,13.77
5089,ChIJscH3eyHJsGoRjMLoSHcIsm4,14.17,21.77
5013,ChIJA8JbLlhLt2oRwQltOFgMf40,17.68,26.22
5013,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,18.71,28.9
5013,ChIJu3UpY0zRsGoRLMloCgGsIcA,24.07,39.17
5013,ChIJHc3SHVrasGoRMPi5RVU2Aw8,21.1,32.9
5013,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,15.11,24.32
5013,ChIJscH3eyHJsGoRjMLoSHcIsm4,9.83,16.67
5086,ChIJA8JbLlhLt2oRwQltOFgMf40,9.52,14.08
5086,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,8.96,14.43
5086,ChIJu3UpY0zRsGoRLMloCgGsIcA,20.23,31.78
5086,ChIJHc3SHVrasGoRMPi5RVU2Aw8,22.46,36.85
5086,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,5.85,9.22
5086,ChIJscH3eyHJsGoRjMLoSHcIsm4,7.37,11.65
5081,ChIJA8JbLlhLt2oRwQltOFgMf40,12.72,18.5
5081,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,9.3,14.67
5081,ChIJu3UpY0zRsGoRLMloCgGsIcA,15.78,25.3
5081,ChIJHc3SHVrasGoRMPi5RVU2Aw8,18.01,30.37
5081,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,4.87,8.25
5081,ChIJscH3eyHJsGoRjMLoSHcIsm4,2.92,5.17
5096,ChIJA8JbLlhLt2oRwQltOFgMf40,9.29,14.5
5096,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,13.8,20.58
5096,ChIJu3UpY0zRsGoRLMloCgGsIcA,26.44,40.65
5096,ChIJHc3SHVrasGoRMPi5RVU2Aw8,33.19,40.93
5096,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,11.39,17.52
5096,ChIJscH3eyHJsGoRjMLoSHcIsm4,14.79,20.58
7025,ChIJA8JbLlhLt2oRwQltOFgMf40,1418.26,1320.27
7025,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,1409.06,1306.95
7025,ChIJu3UpY0zRsGoRLMloCgGsIcA,1408.33,1302.4
7025,ChIJHc3SHVrasGoRMPi5RVU2Aw8,1420.37,1318.3
7025,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,1415.87,1312.12
7025,ChIJscH3eyHJsGoRjMLoSHcIsm4,1414.57,1310.38
5034,ChIJA8JbLlhLt2oRwQltOFgMf40,20.73,31.93
5034,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,14.77,24.62
5034,ChIJu3UpY0zRsGoRLMloCgGsIcA,9.89,16.08
5034,ChIJHc3SHVrasGoRMPi5RVU2Aw8,10.56,17.72
5034,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,11.54,20.63
5034,ChIJscH3eyHJsGoRjMLoSHcIsm4,6.31,14.3
5127,ChIJA8JbLlhLt2oRwQltOFgMf40,7.18,11.4
5127,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,15.09,21.8
5127,ChIJu3UpY0zRsGoRLMloCgGsIcA,28.82,43.5
5127,ChIJHc3SHVrasGoRMPi5RVU2Aw8,31.06,48.57
5127,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,12.68,18.73
5127,ChIJscH3eyHJsGoRjMLoSHcIsm4,15.96,23.37
5075,ChIJA8JbLlhLt2oRwQltOFgMf40,6.49,7.82
5075,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,4.66,6.92
5075,ChIJu3UpY0zRsGoRLMloCgGsIcA,20.2,30.97
5075,ChIJHc3SHVrasGoRMPi5RVU2Aw8,23.68,38.42
5075,ChIJty3Z1SLKsGoRQHS6RVU2Aw8,3.72,6.77
5075,ChIJscH3eyHJsGoRjMLoSHcIsm4,10.45,16.82
5554,ChIJA8JbLlhLt2oRwQltOFgMf40,149.67,110.37
5554,ChIJib2Vy7HKsGoR4HS6RVU2Aw8,154.79,115.28
5554,ChIJu3UpY0zRsGoRLMloCgGsIcA,166.27,122.95
