Postcode,Park,Distance,Travel_Time
5032,Belair,17.26,28.92
5032,Bowker,12.08,17.72
5032,Felixstow,14.49,25.5
5032,Lefevre,7.22,15.08
5093,Anstey,7.31,10.08
5093,Morialta,10.27,15.33
5093,Belair,24.01,37.03
5093,Bowker,26.25,42.1
5093,Felixstow,7.87,12.27
5093,Lefevre,11.15,16.9
5035,Anstey,21.67,33.8
5035,Morialta,15.71,26.48
5035,Belair,11.2,19.12
5035,Bowker,8.71,13.4
5035,Felixstow,12.48,22.5
5035,Lefevre,6.48,13.48
5047,Anstey,31.32,45.17
5047,Morialta,25.16,36.7
5047,Belair,10.91,16.68
5047,Bowker,5.07,8.12
5047,Felixstow,22.13,33.87
5047,Lefevre,18.1,27.5
5051,Anstey,28.61,42.3
5051,Morialta,22.44,33.83
5051,Belair,4.87,8.98
5051,Bowker,11.44,17.92
5051,Felixstow,19.41,30.98
5051,Lefevre,16.93,26.32
5082,Anstey,15.0,22.7
5082,Morialta,11.98,19.52
5082,Belair,16.99,27.62
5082,Bowker,17.22,28.03
5082,Felixstow,7.54,13.1
5082,Lefevre,2.75,5.12
5048,Anstey,32.34,49.6
5048,Morialta,26.38,42.28
5048,Belair,12.63,19.48
5048,Bowker,2.77,6.42
5048,Felixstow,23.14,38.3
5048,Lefevre,17.15,29.28
5043,Anstey,27.69,42.6
5043,Morialta,21.73,35.28
5043,Belair,10.75,17.87
5043,Bowker,3.29,5.82
5043,Felixstow,18.5,31.28
5043,Lefevre,12.51,22.27
2016,Anstey,1373.66,876.05
2016,Morialta,1364.45,862.73
2016,Belair,1363.73,858.18
2016,Bowker,1375.76,874.08
2016,Felixstow,1371.27,867.88
2016,Lefevre,1369.97,866.17
5159,Anstey,35.46,50.28
5159,Morialta,32.38,41.12
5159,Belair,11.26,15.75
5159,Bowker,11.23,14.78
5159,Felixstow,26.27,38.98
5159,Lefevre,23.57,32.03
5044,Anstey,29.29,45.9
5044,Morialta,23.34,38.58
5044,Belair,14.02,22.18
5044,Bowker,1.95,4.53
5044,Felixstow,20.1,34.6
5044,Lefevre,14.11,25.57
5040,Anstey,26.74,40.55
5040,Morialta,20.78,33.25
5040,Belair,14.28,24.9
5040,Bowker,6.07,10.55
5040,Felixstow,17.55,29.25
5040,Lefevre,11.55,20.23
6052,Anstey,2603.63,1636.67
6052,Morialta,2608.76,1641.58
6052,Belair,2620.24,1649.23
6052,Bowker,2616.97,1643.87
6052,Felixstow,2609.17,1635.28
6052,Lefevre,2605.09,1628.02
5045,Anstey,28.15,43.3
5045,Morialta,22.19,35.98
5045,Belair,16.21,26.62
5045,Bowker,4.13,8.98
5045,Felixstow,18.96,31.98
5045,Lefevre,12.96,22.97
5038,Anstey,24.31,38.02
5038,Morialta,18.36,30.7
5038,Belair,12.38,22.32
5038,Bowker,6.18,10.8
5038,Felixstow,15.12,26.72
5038,Lefevre,9.13,17.68
5252,Anstey,46.53,49.1
5252,Morialta,37.98,42.33
5252,Belair,41.96,37.8
5252,Bowker,53.99,53.7
5252,Felixstow,49.49,47.5
5252,Lefevre,48.19,45.78
5033,Anstey,21.88,34.33
5033,Morialta,16.69,29.18
5033,Belair,13.94,23.65
5033,Bowker,10.09,16.68
5033,Felixstow,13.45,25.18
5033,Lefevre,8.08,14.72
5064,Anstey,18.66,26.8
5064,Morialta,11.11,17.15
5064,Belair,8.52,12.83
5064,Bowker,14.54,22.8
5064,Felixstow,8.95,14.95
5064,Lefevre,8.73,14.7
5153,Anstey,42.8,52.05
5153,Morialta,28.34,35.32
5153,Belair,23.06,29.23
5153,Bowker,32.69,41.42
5153,Felixstow,33.61,40.73
5153,Lefevre,32.31,39.02
5050,Anstey,30.44,43.55
5050,Morialta,24.27,35.08
5050,Belair,6.7,10.23
5050,Bowker,7.26,12.02
5050,Felixstow,21.25,32.23
5050,Lefevre,18.76,27.57
5158,Anstey,37.43,51.52
5158,Morialta,31.27,43.05
5158,Belair,17.02,23.03
5158,Bowker,10.41,13.95
5158,Felixstow,28.24,40.22
5158,Lefevre,24.21,33.85
5055,Anstey,,
5055,Morialta,,
5055,Belair,,
5055,Bowker,,
5055,Felixstow,,
5055,Lefevre,,
5031,Anstey,19.67,31.15
5031,Morialta,16.65,28.05
5031,Belair,15.52,26.15
5031,Bowker,11.88,19.32
5031,Felixstow,12.22,21.63
5031,Lefevre,5.87,11.53
5012,Anstey,18.28,26.77
5012,Morialta,19.32,29.43
5012,Belair,22.2,35.88
5012,Bowker,19.47,29.65
5012,Felixstow,13.31,23.02
5012,Lefevre,7.96,13.38
5152,Anstey,26.58,36.32
5152,Morialta,12.2,17.75
5152,Belair,11.87,15.53
5152,Bowker,22.86,31.53
5152,Felixstow,19.47,25.67
5152,Lefevre,18.17,23.95
5062,Anstey,21.74,33.27
5062,Morialta,15.58,24.8
5062,Belair,5.72,10.03
5062,Bowker,11.74,19.98
5062,Felixstow,12.55,21.97
5062,Lefevre,10.07,17.3
5155,Anstey,33.37,38.68
5155,Morialta,16.54,21.38
5155,Belair,16.64,17.67
5155,Bowker,28.67,33.57
5155,Felixstow,24.18,27.37
5155,Lefevre,22.87,25.65
5157,Anstey,39.39,48.75
5157,Morialta,26.42,32.87
5157,Belair,15.07,19.68
5157,Bowker,18.26,23.8
5157,Felixstow,30.2,37.43
5157,Lefevre,28.9,35.72
5087,Anstey,9.38,14.07
5087,Morialta,9.1,15.07
5087,Belair,19.53,30.15
5087,Bowker,21.93,36.13
5087,Felixstow,4.69,7.58
5087,Lefevre,6.84,10.93
5046,Anstey,30.22,47.1
5046,Morialta,24.26,39.78
5046,Belair,11.64,17.98
5046,Bowker,2.41,4.78
5046,Felixstow,21.02,35.8
5046,Lefevre,15.03,26.77
5065,Anstey,16.48,23.47
5065,Morialta,8.93,13.82
5065,Belair,10.68,16.08
5065,Bowker,15.45,25.23
5065,Felixstow,7.02,12.2
5065,Lefevre,6.77,11.72
5016,Anstey,26.05,33.42
5016,Morialta,27.08,36.1
5016,Belair,34.27,43.58
5016,Bowker,23.89,34.72
5016,Felixstow,23.2,29.63
5016,Lefevre,19.11,22.37
5558,Anstey,161.35,122.92
5558,Morialta,166.47,127.83
5558,Belair,177.95,135.5
5558,Bowker,174.68,130.12
5558,Felixstow,166.88,121.55
5558,Lefevre,162.8,114.27
5085,Anstey,11.39,16.65
5085,Morialta,11.59,19.0
5085,Belair,19.88,31.68
5085,Bowker,21.94,35.95
5085,Felixstow,7.24,11.7
5085,Lefevre,6.99,11.5
5083,Anstey,12.89,19.72
5083,Morialta,9.97,16.57
5083,Belair,16.92,27.37
5083,Bowker,18.89,30.82
5083,Felixstow,5.54,10.15
5083,Lefevre,3.93,6.37
5039,Anstey,25.65,38.67
5039,Morialta,19.53,31.18
5039,Belair,9.46,17.02
5039,Bowker,5.77,10.88
5039,Felixstow,16.3,27.18
5039,Lefevre,11.85,19.05
5069,Anstey,13.17,17.8
5069,Morialta,8.41,12.9
5069,Belair,12.92,20.9
5069,Bowker,17.38,28.53
5069,Felixstow,3.98,6.5
5069,Lefevre,3.13,4.83
5072,Anstey,15.96,21.4
5072,Morialta,1.28,2.12
5072,Belair,21.1,30.58
5072,Bowker,25.65,39.25
5072,Felixstow,9.53,14.52
5072,Lefevre,12.46,19.78
6081,Anstey,2577.9,1617.85
6081,Morialta,2583.02,1622.75
6081,Belair,2594.51,1630.42
6081,Bowker,2591.23,1625.05
6081,Felixstow,2583.44,1616.47
6081,Lefevre,2579.35,1609.18
2142,Anstey,1373.58,871.5
2142,Morialta,1364.38,858.18
2142,Belair,1363.66,853.63
2142,Bowker,1375.69,869.53
2142,Felixstow,1371.19,863.35
2142,Lefevre,1369.89,861.63
5007,Anstey,17.81,27.67
5007,Morialta,14.79,24.57
5007,Belair,16.82,29.03
5007,Bowker,14.38,24.45
5007,Felixstow,10.36,18.15
5007,Lefevre,4.01,8.05
5025,Anstey,21.38,33.82
5025,Morialta,18.36,30.72
5025,Belair,19.24,31.57
5025,Bowker,13.05,19.35
5025,Felixstow,13.93,24.3
5025,Lefevre,7.58,14.2
5116,Anstey,29.18,33.27
5116,Morialta,38.53,45.58
5116,Belair,59.86,57.07
5116,Bowker,56.58,51.7
5116,Felixstow,36.12,42.52
5116,Lefevre,44.7,35.85
5084,Anstey,13.21,20.0
5084,Morialta,14.24,22.67
5084,Belair,20.3,32.43
5084,Bowker,21.27,32.68
5084,Felixstow,9.21,15.43
5084,Lefevre,6.45,10.48
5491,Anstey,203.3,150.35
5491,Morialta,210.07,163.6
5491,Belair,232.64,171.77
5491,Bowker,229.37,166.38
5491,Felixstow,221.57,157.82
5491,Lefevre,217.49,150.53
5049,Anstey,35.47,51.22
5049,Morialta,29.31,42.75
5049,Belair,15.06,22.73
5049,Bowker,5.88,10.1
5049,Felixstow,26.28,39.9
5049,Lefevre,22.25,33.53
5042,Anstey,27.09,40.07
5042,Morialta,20.92,31.6
5042,Belair,9.72,14.02
5042,Bowker,7.59,12.87
5042,Felixstow,17.89,28.75
5042,Lefevre,15.41,24.08
5017,Anstey,28.32,35.37
5017,Morialta,29.36,38.03
5017,Belair,36.54,45.53
5017,Bowker,26.21,37.0
5017,Felixstow,25.48,31.58
5017,Lefevre,21.39,24.3
5068,Anstey,13.04,18.15
5068,Morialta,5.51,8.75
5068,Belair,14.09,21.02
5068,Bowker,18.63,29.9
5068,Felixstow,4.68,8.57
5068,Lefevre,6.8,11.45
5154,Anstey,31.89,40.45
5154,Morialta,17.26,22.63
5154,Belair,14.91,20.08
5154,Bowker,27.2,35.33
5154,Felixstow,22.7,29.15
5154,Lefevre,21.4,27.42
5166,Anstey,45.74,56.98
5166,Morialta,39.58,48.52
5166,Belair,25.31,28.43
5166,Bowker,18.05,21.67
5166,Felixstow,36.55,45.68
5166,Lefevre,32.52,39.32
5061,Anstey,19.85,30.72
5061,Morialta,13.89,23.4
5061,Belair,7.97,13.85
5061,Bowker,12.59,21.53
5061,Felixstow,10.66,19.4
5061,Lefevre,8.17,14.73
4059,Anstey,2028.02,1304.88
4059,Morialta,2002.68,1302.32
4059,Belair,2001.96,1297.77
4059,Bowker,2013.99,1313.67
4059,Felixstow,2009.5,1307.48
4059,Lefevre,2040.14,1306.9
5244,Anstey,29.05,30.8
5244,Morialta,32.25,34.78
5244,Belair,38.88,38.15
5244,Bowker,50.92,54.05
5244,Felixstow,40.77,47.75
5244,Lefevre,45.12,46.15
5117,Anstey,29.66,34.15
5117,Morialta,41.23,43.82
5117,Belair,52.32,52.57
5117,Bowker,49.04,47.2
5117,Felixstow,41.25,38.62
5117,Lefevre,37.16,31.33
5041,Anstey,24.25,36.73
5041,Morialta,18.08,28.28
5041,Belair,7.88,12.27
5041,Bowker,7.87,13.33
5041,Felixstow,15.05,25.43
5041,Lefevre,9.93,19.9
5008,Anstey,18.47,27.9
5008,Morialta,15.46,24.8
5008,Belair,18.91,30.78
5008,Bowker,16.02,27.43
5008,Felixstow,11.03,18.38
5008,Lefevre,4.67,8.28
5173,Anstey,64.09,71.03
5173,Morialta,57.92,62.57
5173,Belair,43.66,42.47
5173,Bowker,38.42,36.68
5173,Felixstow,54.9,59.72
5173,Lefevre,50.87,53.35
3058,Anstey,733.9,489.68
3058,Morialta,724.7,476.37
3058,Belair,723.98,471.82
3058,Bowker,736.01,487.72
3058,Felixstow,731.52,481.53
3058,Lefevre,730.21,479.8
2606,Anstey,1175.81,759.1
2606,Morialta,1166.61,745.78
2606,Belair,1165.88,741.22
2606,Bowker,1177.92,757.12
2606,Felixstow,1173.42,750.93
2606,Lefevre,1172.12,749.22
2602,Anstey,1161.49,749.13
2602,Morialta,1152.29,735.82
2602,Belair,1151.57,731.27
2602,Bowker,1163.6,747.17
2602,Felixstow,1159.1,740.97
2602,Lefevre,1157.8,739.25
5162,Anstey,41.65,54.1
5162,Morialta,35.49,45.63
5162,Belair,21.22,25.55
5162,Bowker,15.43,20.47
5162,Felixstow,32.46,42.8
5162,Lefevre,28.43,36.43
2137,Anstey,1369.71,876.93
2137,Morialta,1360.51,863.62
2137,Belair,1359.79,859.07
2137,Bowker,1371.82,874.97
2137,Felixstow,1367.32,868.78
2137,Lefevre,1366.02,867.05
5098,Anstey,9.6,14.05
5098,Morialta,10.97,17.32
5098,Belair,23.96,37.47
5098,Bowker,31.95,40.1
5098,Felixstow,8.56,14.25
5098,Lefevre,11.79,17.58
5021,Anstey,23.53,33.95
5021,Morialta,24.56,36.63
5021,Belair,25.67,42.58
5021,Bowker,16.91,25.37
5021,Felixstow,19.06,31.62
5021,Lefevre,12.86,21.6
5066,Anstey,16.15,23.08
5066,Morialta,8.6,13.43
5066,Belair,11.44,18.15
5066,Bowker,17.46,28.1
5066,Felixstow,7.79,13.5
5066,Lefevre,9.4,15.47
2194,Anstey,1364.51,867.07
2194,Morialta,1355.31,853.75
2194,Belair,1354.58,849.2
2194,Bowker,1366.62,865.1
2194,Felixstow,1362.12,858.92
2194,Lefevre,1360.82,857.18
5019,Anstey,23.29,34.32
5019,Morialta,24.32,36.98
5019,Belair,27.97,45.55
5019,Bowker,20.73,29.47
5019,Felixstow,20.72,32.42
5019,Lefevre,14.58,23.22
5290,Anstey,441.3,292.22
5290,Morialta,432.1,278.9
5290,Belair,431.37,274.35
5290,Bowker,443.4,290.25
5290,Felixstow,438.91,284.05
5290,Lefevre,437.61,282.33
3064,Anstey,756.48,499.33
3064,Morialta,747.28,486.02
3064,Belair,746.56,481.47
3064,Bowker,758.59,497.37
3064,Felixstow,754.1,491.18
3064,Lefevre,752.79,489.47
3726,Anstey,816.54,540.33
3726,Morialta,807.34,527.02
3726,Belair,806.61,522.47
3726,Bowker,818.64,538.37
3726,Felixstow,814.15,532.17
3726,Lefevre,812.85,530.45
5204,Anstey,116.04,113.23
5204,Morialta,109.88,104.77
5204,Belair,95.61,84.68
5204,Bowker,90.38,78.88
5204,Felixstow,106.85,101.92
5204,Lefevre,102.82,95.57
5109,Anstey,10.51,14.65
5109,Morialta,19.87,26.97
5109,Belair,32.4,46.48
5109,Bowker,36.94,44.78
5109,Felixstow,17.46,23.9
5109,Lefevre,18.55,24.52
5141,Anstey,23.86,36.1
5141,Morialta,8.2,16.15
5141,Belair,19.04,28.93
5141,Bowker,27.18,44.57
5141,Felixstow,16.89,29.07
5141,Lefevre,18.5,31.05
